ip.src,ip.dst,tcp.len,tcp.time_delta,tcp.flags,mqtt.msgtype,mqtt.msgid,mqtt.qos,mqtt.dupflag,mqtt.len,mqtt.kalive,mqtt.conack.val,mqtt.conflag.passwd,mqtt.retain,timestamp
10.0.0.99,10.0.0.10,27040,0.003375621,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.165035
10.0.0.99,10.0.0.10,3136,0.005944224,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.166425
10.0.0.99,10.0.0.10,37648,0.011767338,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.171982
10.0.0.99,10.0.0.10,29936,0.003134630,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.177667
10.0.0.99,10.0.0.10,14376,0.013896406,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.180627
10.0.0.99,10.0.0.10,12576,0.001197855,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.182832
10.0.0.99,10.0.0.10,2232,0.001040587,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.183483
10.0.0.99,10.0.0.10,13920,0.010622098,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.185411
10.0.0.99,10.0.0.10,2464,0.001159369,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.186388
10.0.0.99,10.0.0.10,13584,0.006313875,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.188305
10.0.0.99,10.0.0.10,2800,0.001131916,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.189059
10.0.0.99,10.0.0.10,1576,0.002930041,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.189543
10.0.0.99,10.0.0.10,1496,0.000122571,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.189728
10.0.0.99,10.0.0.10,64000,0.000008486,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.199476
10.0.0.99,10.0.0.10,19456,0.005224385,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.354906
10.0.0.99,10.0.0.10,34752,0.000008191,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.360986
10.0.0.99,10.0.0.10,32832,0.002773917,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.367633
10.0.0.99,10.0.0.10,13248,0.002733986,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.371139
10.0.0.99,10.0.0.10,3136,0.001102594,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.372032
10.0.0.99,10.0.0.10,37648,0.000006808,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.377804
